;Rauschen;;;21;;50;;48;;46;;43;;58;;28;;21;;60;;26;;20;;40;;20;;43;;55;;22;;48;;44;;50;;30;;20;;62;;30;;30;;51;;26;;35;;31;;40;;20;;30;;20;;30;;24;;36;;63;;47;;28;;57;;60;;22;;46;;20;;50;;20;;19;;56;;21;;60;;50;;20;;50;;20;;60;;40;;20;;52;;24;;40;;46;;28;;60;;56;;50;;60;;12;;20;;57;;50;;24;;40;;31;;20;;20;;54;;61;;40;;60;;54;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1_C31.wav;;;F1_C01.wav Type: Gold;;F1_C04.wav Type: Normal;;F1_C06.wav Type: Normal;;F1_C09.wav Type: Normal;;F1_C11.wav Type: Normal;;F1_C14.wav Type: Normal;;F1_C20.wav Type: Normal;;F1_C23.wav Type: Normal;;F1_C30.wav Type: Normal;;F1_C32.wav Type: Normal;;F1_C35.wav Type: Normal;;F1_C37.wav Type: Normal;;F1_C41.wav Type: Normal;;F1_C44.wav Type: Normal;;F1_C47.wav Type: Normal;;F1_C50.wav Type: Normal;;F1_C52.wav Type: Normal;;F1_C55.wav Type: Normal;;F1_C58.wav Type: Normal;;F1_C61.wav Type: Normal;;F2_C01.wav Type: Gold;;F2_C03.wav Type: Normal;;F2_C06.wav Type: Normal;;F2_C08.wav Type: Normal;;F2_C11.wav Type: Normal;;F2_C14.wav Type: Normal;;F2_C20.wav Type: Normal;;F2_C23.wav Type: Normal;;F2_C25.wav Type: Normal;;F2_C32.wav Type: Normal;;F2_C34.wav Type: Normal;;F2_C37.wav Type: Normal;;F2_C40.wav Type: Normal;;F2_C43.wav Type: Normal;;F2_C46.wav Type: Normal;;F2_C49.wav Type: Normal;;F2_C51.wav Type: Normal;;F2_C54.wav Type: Normal;;F2_C56.wav Type: Normal;;F2_C59.wav Type: Normal;;F2_C62.wav Type: Normal;;M1_C03.wav Type: Normal;;M1_C05.wav Type: Normal;;M1_C08.wav Type: Normal;;M1_C11.wav Type: Normal;;M1_C13.wav Type: Normal;;M1_C20.wav Type: Normal;;M1_C23.wav Type: Normal;;M1_C25.wav Type: Normal;;M1_C32.wav Type: Normal;;M1_C35.wav Type: Normal;;M1_C37.wav Type: Normal;;M1_C40.wav Type: Normal;;M1_C42.wav Type: Normal;;M1_C45.wav Type: Normal;;M1_C48.wav Type: Normal;;M1_C51.wav Type: Normal;;M1_C54.wav Type: Normal;;M1_C56.wav Type: Normal;;M1_C59.wav Type: Normal;;M1_C62.wav Type: Normal;;M2_C02.wav Type: Normal;;M2_C05.wav Type: Normal;;M2_C08.wav Type: Normal;;M2_C10.wav Type: Normal;;M2_C13.wav Type: Normal;;M2_C19.wav Type: Normal;;M2_C22.wav Type: Normal;;M2_C25.wav Type: Normal;;M2_C31.wav Type: Normal;;M2_C34.wav Type: Normal;;M2_C36.wav Type: Normal;;M2_C39.wav Type: Normal;;M2_C43.wav Type: Normal;;M2_C46.wav Type: Normal;;M2_C49.wav Type: Normal;;M2_C52.wav Type: Normal;;M2_C55.wav Type: Normal;;M2_C58.wav Type: Normal;;M2_C61.wav Type: Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gesamtqualität;;;55;;52;;40;;50;;26;;32;;27;;22;;25;;43;;29;;57;;34;;52;;46;;50;;46;;29;;20;;45;;38;;20;;30;;56;;60;;48;;18;;30;;40;;50;;20;;38;;40;;47;;40;;21;;33;;40;;20;;20;;51;;34;;24;;30;;56;;33;;56;;36;;20;;30;;24;;48;;34;;20;;30;;50;;62;;50;;58;;40;;54;;50;;40;;20;;50;;30;;37;;30;;61;;60;;50;;38;;55;;26;;50;;46;;20;;46;;41;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Klangfarbe;;;20;;20;;10;;20;;60;;44;;49;;60;;49;;25;;55;;26;;48;;26;;32;;20;;36;;36;;26;;24;;36;;60;;50;;30;;20;;46;;33;;45;;40;;20;;60;;60;;50;;23;;42;;59;;36;;38;;58;;53;;32;;37;;45;;20;;24;;21;;20;;20;;60;;20;;25;;51;;45;;57;;60;;20;;22;;28;;20;;20;;24;;23;;46;;24;;30;;35;;24;;21;;17;;22;;35;;32;;23;;20;;30;;21;;30;;20;;33;;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Diskontinuität;;;25;;20;;52;;20;;26;;20;;48;;20;;56;;24;;20;;20;;46;;18;;22;;20;;32;;29;;20;;24;;36;;60;;20;;20;;20;;44;;58;;31;;40;;20;;60;;30;;26;;21;;34;;21;;44;;20;;54;;24;;26;;52;;60;;60;;20;;65;;20;;20;;24;;20;;24;;20;;20;;20;;60;;19;;15;;44;;20;;28;;22;;20;;20;;32;;20;;13;;23;;20;;17;;20;;30;;25;;20;;20;;20;;27;;62;;20;;33;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lautstärke;;;20;;50;;20;;20;;22;;42;;44;;23;;46;;26;;27;;22;;22;;31;;23;;35;;32;;47;;60;;32;;42;;35;;50;;24;;20;;43;;29;;37;;40;;20;;40;;28;;24;;32;;42;;56;;20;;27;;56;;58;;45;;23;;53;;35;;20;;20;;20;;29;;30;;20;;61;;28;;60;;21;;60;;60;;15;;22;;28;;46;;22;;24;;26;;30;;25;;13;;28;;60;;13;;26;;35;;26;;22;;40;;46;;48;;26;;26;;26;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rauschen;;;20;;20;;16;;20;;50;;56;;51;;20;;58;;31;;36;;20;;20;;33;;54;;20;;40;;50;;65;;46;;46;;46;;42;;20;;20;;42;;27;;56;;40;;22;;20;;20;;20;;46;;44;;65;;44;;32;;59;;49;;45;;44;;45;;24;;20;;26;;28;;62;;20;;50;;29;;54;;20;;60;;60;;20;;12;;46;;20;;50;;22;;44;;48;;60;;60;;50;;46;;20;;19;;22;;30;;51;;20;;60;;20;;21;;40;;54;;59;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1_C32.wav;;;F1_C01.wav Type: Gold;;F1_C04.wav Type: Normal;;F1_C06.wav Type: Normal;;F1_C09.wav Type: Normal;;F1_C11.wav Type: Normal;;F1_C14.wav Type: Normal;;F1_C21.wav Type: Normal;;F1_C23.wav Type: Normal;;F1_C30.wav Type: Normal;;F1_C32.wav Type: Normal;;F1_C35.wav Type: Normal;;F1_C37.wav Type: Normal;;F1_C41.wav Type: Normal;;F1_C44.wav Type: Normal;;F1_C47.wav Type: Normal;;F1_C50.wav Type: Normal;;F1_C52.wav Type: Normal;;F1_C55.wav Type: Normal;;F1_C58.wav Type: Normal;;F1_C61.wav Type: Normal;;F2_C01.wav Type: Gold;;F2_C03.wav Type: Normal;;F2_C06.wav Type: Normal;;F2_C08.wav Type: Normal;;F2_C11.wav Type: Normal;;F2_C14.wav Type: Normal;;F2_C20.wav Type: Normal;;F2_C23.wav Type: Normal;;F2_C25.wav Type: Normal;;F2_C32.wav Type: Normal;;F2_C34.wav Type: Normal;;F2_C37.wav Type: Normal;;F2_C40.wav Type: Normal;;F2_C43.wav Type: Normal;;F2_C46.wav Type: Normal;;F2_C49.wav Type: Normal;;F2_C51.wav Type: Normal;;F2_C54.wav Type: Normal;;F2_C57.wav Type: Normal;;F2_C59.wav Type: Normal;;F2_C62.wav Type: Normal;;M1_C03.wav Type: Normal;;M1_C05.wav Type: Normal;;M1_C08.wav Type: Normal;;M1_C11.wav Type: Normal;;M1_C13.wav Type: Normal;;M1_C20.wav Type: Normal;;M1_C23.wav Type: Normal;;M1_C25.wav Type: Normal;;M1_C32.wav Type: Normal;;M1_C35.wav Type: Normal;;M1_C37.wav Type: Normal;;M1_C40.wav Type: Normal;;M1_C42.wav Type: Normal;;M1_C45.wav Type: Normal;;M1_C48.wav Type: Normal;;M1_C51.wav Type: Normal;;M1_C54.wav Type: Normal;;M1_C56.wav Type: Normal;;M1_C59.wav Type: Normal;;M1_C62.wav Type: Normal;;M2_C02.wav Type: Normal;;M2_C05.wav Type: Normal;;M2_C08.wav Type: Normal;;M2_C10.wav Type: Normal;;M2_C13.wav Type: Normal;;M2_C19.wav Type: Normal;;M2_C22.wav Type: Normal;;M2_C25.wav Type: Normal;;M2_C31.wav Type: Normal;;M2_C34.wav Type: Normal;;M2_C36.wav Type: Normal;;M2_C39.wav Type: Normal;;M2_C43.wav Type: Normal;;M2_C46.wav Type: Normal;;M2_C49.wav Type: Normal;;M2_C52.wav Type: Normal;;M2_C55.wav Type: Normal;;M2_C58.wav Type: Normal;;M2_C61.wav Type: Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gesamtqualität;;;55;;36;;50;;50;;24;;34;;56;;30;;47;;30;;40;;30;;56;;42;;60;;54;;34;;50;;30;;26;;56;;20;;60;;40;;60;;27;;26;;36;;46;;20;;50;;36;;34;;54;;48;;15;;37;;40;;30;;50;;49;;29;;30;;44;;31;;58;;57;;38;;20;;30;;31;;47;;60;;20;;40;;49;;32;;48;;23;;25;;50;;40;;50;;36;;50;;20;;50;;34;;43;;56;;40;;23;;41;;40;;34;;53;;20;;46;;31;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Klangfarbe;;;20;;52;;10;;26;;58;;28;;24;;20;;43;;26;;31;;38;;30;;52;;20;;25;;32;;30;;52;;55;;36;;57;;20;;46;;25;;55;;30;;43;;43;;60;;60;;34;;50;;21;;34;;45;;35;;20;;51;;60;;52;;25;;40;;49;;20;;20;;26;;20;;60;;30;;40;;55;;44;;20;;40;;20;;16;;25;;26;;54;;24;;60;;26;;36;;40;;13;;20;;23;;48;;22;;45;;58;;23;;20;;28;;30;;30;;30;;49;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Diskontinuität;;;20;;30;;10;;24;;24;;52;;24;;20;;30;;56;;20;;50;;20;;16;;20;;20;;32;;30;;21;;24;;20;;44;;20;;20;;20;;52;;44;;45;;32;;60;;20;;20;;22;;21;;42;;64;;20;;20;;20;;20;;21;;27;;50;;20;;20;;20;;20;;20;;60;;20;;26;;20;;20;;30;;40;;20;;48;;23;;22;;30;;22;;25;;24;;30;;20;;58;;20;;42;;17;;20;;25;;58;;20;;20;;20;;26;;50;;40;;56;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lautstärke;;;34;;50;;24;;40;;32;;42;;27;;54;;27;;24;;25;;40;;22;;39;;25;;22;;36;;38;;51;;52;;30;;60;;34;;32;;28;;36;;33;;40;;32;;30;;30;;40;;40;;21;;40;;41;;20;;25;;46;;30;;29;;55;;28;;20;;46;;26;;20;;22;;24;;30;;40;;53;;20;;24;;60;;40;;15;;33;;57;;56;;30;;30;;56;;30;;60;;13;;21;;31;;44;;22;;30;;23;;60;;30;;54;;27;;50;;26;;36;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rauschen;;;20;;46;;46;;20;;46;;44;;35;;60;;40;;26;;51;;24;;20;;50;;20;;21;;34;;46;;50;;48;;20;;60;;20;;20;;20;;26;;57;;30;;31;;50;;20;;50;;50;;37;;36;;48;;50;;43;;23;;30;;28;;42;;60;;20;;20;;24;;25;;63;;40;;60;;22;;59;;20;;50;;40;;55;;15;;40;;49;;54;;25;;32;;44;;48;;40;;14;;21;;22;;48;;20;;30;;45;;47;;46;;20;;27;;64;;20;;52;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F1_C33.wav;;;F1_C01.wav Type: Gold;;F1_C04.wav Type: Normal;;F1_C06.wav Type: Normal;;F1_C09.wav Type: Normal;;F1_C11.wav Type: Normal;;F1_C14.wav Type: Normal;;F1_C21.wav Type: Normal;;F1_C23.wav Type: Normal;;F1_C30.wav Type: Normal;;F1_C32.wav Type: Normal;;F1_C35.wav Type: Normal;;F1_C37.wav Type: Normal;;F1_C41.wav Type: Normal;;F1_C44.wav Type: Normal;;F1_C47.wav Type: Normal;;F1_C50.wav Type: Normal;;F1_C52.wav Type: Normal;;F1_C55.wav Type: Normal;;F1_C58.wav Type: Normal;;F1_C61.wav Type: Normal;;F2_C01.wav Type: Gold;;F2_C03.wav Type: Normal;;F2_C06.wav Type: Normal;;F2_C08.wav Type: Normal;;F2_C11.wav Type: Normal;;F2_C14.wav Type: Normal;;F2_C21.wav Type: Normal;;F2_C23.wav Type: Normal;;F2_C25.wav Type: Normal;;F2_C32.wav Type: Normal;;F2_C34.wav Type: Normal;;F2_C37.wav Type: Normal;;F2_C40.wav Type: Normal;;F2_C43.wav Type: Normal;;F2_C46.wav Type: Normal;;F2_C49.wav Type: Normal;;F2_C51.wav Type: Normal;;F2_C54.wav Type: Normal;;F2_C57.wav Type: Normal;;F2_C59.wav Type: Normal;;F2_C62.wav Type: Normal;;M1_C03.wav Type: Normal;;M1_C05.wav Type: Normal;;M1_C08.wav Type: Normal;;M1_C11.wav Type: Normal;;M1_C14.wav Type: Normal;;M1_C20.wav Type: Normal;;M1_C23.wav Type: Normal;;M1_C25.wav Type: Normal;;M1_C32.wav Type: Normal;;M1_C35.wav Type: Normal;;M1_C37.wav Type: Normal;;M1_C40.wav Type: Normal;;M1_C42.wav Type: Normal;;M1_C45.wav Type: Normal;;M1_C48.wav Type: Normal;;M1_C51.wav Type: Normal;;M1_C54.wav Type: Normal;;M1_C56.wav Type: Normal;;M1_C59.wav Type: Normal;;M1_C62.wav Type: Normal;;M2_C02.wav Type: Normal;;M2_C05.wav Type: Normal;;M2_C08.wav Type: Normal;;M2_C10.wav Type: Normal;;M2_C13.wav Type: Normal;;M2_C19.wav Type: Normal;;M2_C22.wav Type: Normal;;M2_C25.wav Type: Normal;;M2_C31.wav Type: Normal;;M2_C34.wav Type: Normal;;M2_C36.wav Type: Normal;;M2_C39.wav Type: Normal;;M2_C43.wav Type: Normal;;M2_C46.wav Type: Normal;;M2_C49.wav Type: Normal;;M2_C52.wav Type: Normal;;M2_C55.wav Type: Normal;;M2_C58.wav Type: Normal;;M2_C61.wav Type: Normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gesamtqualität;;;40;;32;;50;;20;;28;;30;;48;;30;;30;;39;;56;;22;;44;;41;;47;;24;;28;;32;;40;;30;;38;;40;;44;;40;;40;;46;;39;;50;;47;;30;;60;;42;;36;;52;;38;;31;;40;;54;;60;;55;;32;;50;;60;;29;;30;;36;;32;;21;;20;;30;;26;;60;;50;;40;;30;;55;;30;;25;;23;;24;;34;;25;;54;;38;;40;;20;;50;;39;;30;;50;;35;;54;;50;;40;;34;;26;;33;;30;;58;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
